,ROE－綜合損益,ROE－綜合損益,ROE－綜合損益,ROE－綜合損益
2498 宏達電,-0.81,1.68,-11.95,-4.85
2501 國建,6.19,2.45,8.8,3.36
2504 國產,11.87,3.58,14.65,10.78
2505 國揚,2.66,1.07,5.96,3.17
2506 太設,1.29,-2.91,-2.23,2.92
2509 全坤建,4.25,1.44,-4.64,-0.63
2511 太子,-0.35,-0.42,3.1,1.87
2514 龍邦,4.43,2.76,5.4,2.98
2515 中工,2.5,0.45,2.8,1.63
2516 新建,4.47,3.91,11.82,13.26
2520 冠德,13.78,3.7,13.66,8.68
2524 京城,3.06,1.11,2.52,1.46
2527 宏璟,12.02,9.26,22.33,12.72
2528 皇普,-3.78,-0.77,4.62,5.37
2530 華建,6.6,1.84,4.76,-0.5
2534 宏盛,0.39,0.57,3.96,3.17
2535 達欣工,10.29,3.21,12.96,10.38
2536 宏普,0.16,-0.18,1.79,-2.59
2537 聯上發,3.67,0.54,-1.47,-1.41
2538 基泰,2.59,2.05,26.42,28.7
2539 櫻花建,3.95,3.35,17.6,9.94
2540 愛山林,11.24,5.85,19.99,10.09
2542 興富發,5.15,1.53,16.62,14.69
2543 皇昌,21.34,3.21,18.73,10.85
2545 皇翔,11.87,5.08,6.43,-0.39
2546 根基,9.2,3.36,24.54,16.8
2547 日勝生,-1.24,-0.66,-0.17,-1.05
2548 華固,1.21,-0.38,17.78,10.88
2597 潤弘,16.89,1.58,23.74,10.85
2601 益航,4.16,3.13,-21.34,-1.63
2603 長榮,14.38,6.83,7.45,10
2605 新興,12.78,7.09,3.3,7.91
2606 裕民,19.79,11.26,10.36,12.8
2607 榮運,10.18,4.98,11.21,10.7
2608 嘉里大榮,4.93,2.43,14.08,11.78
2609 陽明,9.99,4.61,1.61,3.11
2610 華航,8.5,3.91,8.76,8.68
2611 志信,13.34,9.02,18.04,9.89
2612 中航,13.2,5.61,3.16,7.25
2613 中櫃,2.5,0.82,3.29,1.52
2614 東森,3.6,0.97,-7.46,2.91
2615 萬海,12.2,5.54,-2.57,3.08
2616 山隆,-0.93,-0.58,5.99,3.14
2617 台航,12.44,3.29,7.42,7.67
2618 長榮航,9.34,2.85,21.93,15.2
2630 亞航,2.87,1.45,2.63,1.57
2633 台灣高鐵,5.28,2.91,11.28,7.36
2634 漢翔,8.5,4.93,13.83,12.61
2636 台驊控股,16.22,6.43,11.71,12
2637 慧洋-KY,13.68,7.32,5.99,10.73
2642 宅配通,0.58,-0.03,7.69,8.35
2645 長榮航太,8.39,4.38,14.75,13.47
2701 萬企,4.23,0.62,5.88,6.21
2702 華園,5.19,3.41,0.84,4.97
2704 國賓,64.23,61.2,39.37,38
2705 六福,-1.04,-0.04,-1.82,-3.21
2706 第一店,3.96,1.39,4.59,4.26
2707 晶華,17.53,11.36,31.18,24.61
2712 遠雄來,-7.1,-0.78,3.94,4.03
2722 夏都,0.86,0.36,5,4.76
2723 美食-KY,4.35,2.87,5.82,7.51
2727 王品,15.43,7.55,32.15,27.56
2731 雄獅,18.16,8.13,53.12,26.48
2739 寒舍,42.93,14.41,49.05,35.24
2748 雲品,6.77,5.42,12.04,8.05
2753 八方雲集,9.56,5.54,15.85,13.32
2762 世界健身-KY,7.99,3.03,14.21,10.15
2801 彰銀,6.1,3.29,13.89,10.12
2809 京城銀,7.7,4.6,19.28,11.74
2812 台中銀,5.07,3.1,12.06,7.82
2816 旺旺保,11.78,6.75,23.76,20.46
2820 華票,1.83,1.87,15.45,9.12
2832 台產,10.08,5.47,15.2,12.44
